ObjectID,Brand Name,Brand Type,Description
1,Chanel,Handbag,A timeless Chanel handbag crafted from luxurious leather with the signature quilted pattern.
2,Chanel,Earrings,"Elegant Chanel earrings featuring the iconic interlocking CC logo, made with fine metals and pearls."
3,Chanel,Watches,Exquisite Chanel watches combining Swiss precision with Parisian elegance.
4,Chanel,Wallets,Luxurious Chanel wallets made with premium leather and signature quilting.
5,Chanel,Glassware,"Elegant glassware collection by Chanel, featuring crystal craftsmanship."
6,Chanel,Perfume,"A classic Chanel fragrance, embodying sophistication and timeless allure."
7,Chanel,Sunglasses,"Designer sunglasses from Chanel, featuring stylish frames and UV protection."
8,Chanel,Shoes,Elegant Chanel shoes crafted with premium materials and timeless style.
9,Rolex,Watches,"A world-renowned Rolex watch, symbolizing prestige and superior craftsmanship."
10,Gucci,Handbag,A statement Gucci handbag with signature GG monogram and premium leather accents.
11,Gucci,Wallets,Luxury Gucci wallets crafted from high-quality leather with iconic branding.
12,Gucci,Sunglasses,Stylish Gucci sunglasses with designer frames and high-quality lenses.
13,Gucci,Shoes,"Premium Gucci shoes, blending comfort and high-fashion aesthetics."
14,Gucci,Belts,Elegant Gucci belts featuring the signature GG buckle and fine leather.
15,Gucci,Jewelry,"High-end Gucci jewelry, incorporating Italian craftsmanship and unique designs."
16,Gucci,Clothing,Luxury Gucci clothing line known for bold designs and high-end materials.
17,Louis Vuitton,Handbag,"A Louis Vuitton handbag, featuring monogram canvas and premium craftsmanship."
18,Louis Vuitton,Wallets,Exclusive Louis Vuitton wallets with elegant designs and superior quality.
19,Louis Vuitton,Luggage,"Luxury travel luggage from Louis Vuitton, designed with iconic monogram canvas."
20,Louis Vuitton,Shoes,"Stylish Louis Vuitton shoes, crafted with premium materials and modern designs."
21,Louis Vuitton,Sunglasses,Elegant Louis Vuitton sunglasses with cutting-edge designs and high UV protection.
22,Louis Vuitton,Jewelry,"Exquisite Louis Vuitton jewelry pieces, blending innovation and classic charm."
23,Louis Vuitton,Clothing,"High-fashion Louis Vuitton clothing collection, known for luxury and innovation."
24,Patek Philippe,Watches,"An exquisite Patek Philippe watch, a true masterpiece of Swiss horology."
